familia,nombre,Ag,b,t,exy,Iv,rv,Iz,rz,Ixy,rxy,J,Cw,g,gramil,fuente
SimpleL,L102x12.7,24.45,10.16,1.27,2.98,92.84,1.95,269.07,3.89,230.95,3.07,13.007,98.34,19.19,6.35,,planilla_MC_2024
SimpleL,L102x6.4,12.8,10.16,0.64,2.71,47.85,1.93,203.21,3.98,125.53,3.13,1.72,13.88,10.05,6.35,,planilla_MC_2024
SimpleL,L102x7.9,15.65,10.16,0.79,2.78,59.0,1.94,245.82,3.96,152.41,3.12,3.21,25.51,12.28,6.35,,planilla_MC_2024
SimpleL,L102x9.5,18.63,10.16,0.95,2.85,70.56,1.95,289.07,3.94,179.81,3.11,5.536,43.27,14.63,6.35,,planilla_MC_2024
SimpleL,L127x12.7,30.86,12.7,1.27,3.59,182.49,2.43,739.6,4.9,461.04,3.87,16.476,199.9,24.22,7.62,,planilla_MC_2024
SimpleL,L127x9.5,23.44,12.7,0.95,3.46,138.04,2.43,573.78,4.95,355.91,3.9,6.988,87.03,18.4,7.62,,planilla_MC_2024
SimpleL,L152x12.7,37.27,15.24,1.27,4.2,316.74,2.92,1300.04,5.91,808.39,4.66,19.944422,354.522123,29.26,8.89,,planilla_MC_2024
SimpleL,L152x9.5,28.25,15.24,0.95,4.06,238.52,2.91,1002.06,5.96,620.29,4.69,8.439,153.3,22.18,8.89,,planilla_MC_2024
SimpleL,L38x3.2,2.37,3.81,0.32,1.03,1.2,0.71,5.02,1.46,3.11,1.15,0.08,0.089,1.86,2.2225,,planilla_MC_2024
SimpleL,L38x4.8,3.46,3.81,0.48,1.1,1.78,0.72,7.12,1.44,4.45,1.13,0.263,0.28,2.71,2.2225,,planilla_MC_2024
SimpleL,L38x6.4,4.49,3.81,0.64,1.17,2.33,0.72,8.93,1.41,5.63,1.12,0.61,0.619,3.53,2.2225,,planilla_MC_2024
SimpleL,L45x3.2,2.83,4.44,0.32,1.19,1.98,0.84,8.5,1.73,5.54,1.36,0.093,0.143,2.22,2.54,,planilla_MC_2024
SimpleL,L45x4.8,4.14,4.44,0.48,1.27,2.97,0.85,12.17,1.71,7.57,1.35,0.31,0.455,3.25,2.54,,planilla_MC_2024
SimpleL,L45x6.4,5.4,4.44,0.64,1.34,3.9,0.85,15.43,1.69,9.67,1.34,0.72,1.018,4.24,2.54,,planilla_MC_2024
SimpleL,L51x3.2,3.21,5.08,0.32,1.34,2.95,0.96,12.58,1.98,7.76,1.55,0.107,0.217,2.52,2.8575,,planilla_MC_2024
SimpleL,L51x4.8,4.72,5.08,0.48,1.42,4.41,0.97,18.12,1.96,11.26,1.54,0.357,0.697,3.7,2.8575,,planilla_MC_2024
SimpleL,L51x6.4,6.17,5.08,0.64,1.49,5.8,0.97,23.1,1.93,14.45,1.53,0.832,1.571,4.84,2.8575,,planilla_MC_2024
SimpleL,L57x3.2,3.61,5.71,0.32,1.48,4.05,1.06,17.7,2.21,10.88,1.73,0.121,0.311,2.84,3.175,,planilla_MC_2024
SimpleL,L57x4.8,5.31,5.71,0.48,1.56,6.13,1.07,25.64,2.2,15.88,1.73,0.403,1.006,4.17,3.175,,planilla_MC_2024
SimpleL,L57x6.4,6.96,5.71,0.64,1.63,8.1,1.08,32.87,2.17,20.49,1.72,0.942,2.281,5.46,3.175,,planilla_MC_2024
SimpleL,L64x4.8,6.0,6.35,0.48,1.72,8.65,1.2,36.76,2.48,22.7,1.95,0.45,1.401,4.71,3.4925,,planilla_MC_2024
SimpleL,L64x6.4,7.87,6.35,0.64,1.8,11.49,1.21,47.37,2.45,29.43,1.93,1.054,3.193,6.18,3.4925,,planilla_MC_2024
SimpleL,L76x6.4,9.43,7.62,0.64,2.09,19.47,1.44,81.3,2.94,50.39,2.31,1.276,5.665,7.4,4.445,,planilla_MC_2024
SimpleL,L76x7.9,11.49,7.62,0.79,2.15,23.89,1.44,97.59,2.91,60.74,2.3,2.375,10.33,9.02,4.445,,planilla_MC_2024
SimpleL,L76x9.5,13.64,7.62,0.95,2.22,28.47,1.44,113.82,2.89,71.15,2.28,4.084,17.37,10.71,4.445,,planilla_MC_2024
SimpleL,L89x6.4,11.11,8.89,0.64,2.4,31.58,1.69,133.09,3.46,82.34,2.72,1.498,9.167,8.72,5.08,,planilla_MC_2024
SimpleL,L89x7.9,13.57,8.89,0.79,2.47,38.85,1.69,160.47,3.44,99.66,2.71,2.792,16.79,10.65,5.08,,planilla_MC_2024
SimpleL,L89x9.5,16.14,8.89,0.95,2.53,46.37,1.7,188.04,3.41,117.2,2.69,4.81,28.38,12.67,5.08,,planilla_MC_2024
