familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,ey,ec,g,fuente
UPN,UPN100,13.5,5.0,0.85,10.0,6.4,0.6,206.0,41.2,3.91,49.0,29.3,8.49,1.47,16.21,2.64,481.65,1.55,2.93,10.6,,planilla_MC_2024
UPN,UPN120,17.0,5.5,0.9,12.0,8.2,0.7,364.0,60.7,4.62,72.6,43.2,11.1,1.59,21.27,3.84,1039.2,1.6,3.03,13.4,,planilla_MC_2024
UPN,UPN140,20.4,6.0,1.0,14.0,9.8,0.7,605.0,86.4,5.42,103.0,62.7,14.8,1.75,28.32,5.37,2073.5,1.75,3.37,16.0,,planilla_MC_2024
UPN,UPN160,24.0,6.5,1.05,16.0,11.5,0.75,925.0,116.0,6.21,138.0,85.3,18.3,1.89,35.2,6.97,3750.3,1.84,3.56,18.8,,planilla_MC_2024
UPN,UPN180,28.0,7.0,1.1,18.0,13.3,0.8,1350.0,150.0,6.95,179.0,114.0,22.4,2.02,43.14,8.91,6383.5,1.92,3.75,22.0,,planilla_MC_2024
UPN,UPN200,32.2,7.5,1.15,20.0,15.1,0.85,1910.0,191.0,7.7,228.0,148.0,27.0,2.14,51.89,11.23,10429.0,2.01,3.94,25.3,,planilla_MC_2024
UPN,UPN220,37.4,8.0,1.25,22.0,16.7,0.9,2690.0,245.0,8.48,292.0,197.0,33.6,2.3,64.4,15.16,16737.0,2.14,4.2,29.4,,planilla_MC_2024
UPN,UPN240,42.3,8.5,1.3,24.0,18.4,0.95,3600.0,300.0,9.22,358.0,248.0,39.6,2.42,76.02,18.57,25390.0,2.23,4.39,33.2,,planilla_MC_2024
UPN,UPN260,48.3,9.0,1.4,26.0,20.0,1.0,4820.0,371.0,9.99,442.0,317.0,47.7,2.56,92.22,24.2,38133.0,2.36,4.66,37.9,,planilla_MC_2024
UPN,UPN280,53.3,9.5,1.5,28.0,21.6,1.0,6280.0,448.0,10.9,532.0,399.0,57.2,2.74,109.9,29.71,55532.0,2.53,5.02,41.8,,planilla_MC_2024
UPN,UPN300,58.8,10.0,1.6,30.0,23.2,1.0,8030.0,535.0,11.7,632.0,495.0,67.8,2.9,130.0,36.24,78829.0,2.7,5.41,46.2,,planilla_MC_2024
UPN,UPN80,11.0,4.5,0.8,8.0,4.6,0.6,106.0,26.5,3.1,31.8,19.4,6.36,1.33,12.08,2.0,196.54,1.45,2.67,8.64,,planilla_MC_2024
